ICD1	ICD2	val11	occ1	occ2	NN	pval	bonf_thresh	fdr_thresh
N13	N31	24	963	104	49230	3.9238933092685474e-19	5.2659294365455505e-06	0.0005160610847814639
H10	J20	83	423	3273	49230	5.042929811778709e-19	5.2659294365455505e-06	0.0005213270142180095
H66	J03	129	1457	1903	49230	2.7717822721056128e-18	5.2659294365455505e-06	0.0005265929436545551
J20	J45	120	3273	778	49230	6.6858559491660435e-18	5.2659294365455505e-06	0.0005318588730911006
H73	J00	28	104	1670	49230	8.535403061203137e-18	5.2659294365455505e-06	0.0005371248025276462
B27	J03	32	127	1903	49230	1.5031484129459625e-17	5.2659294365455505e-06	0.0005423907319641917
H10	J18	63	423	2184	49230	4.414232482719169e-17	5.2659294365455505e-06	0.0005476566614007372
N35	N39	24	50	2832	49230	4.424906750362032e-17	5.2659294365455505e-06	0.0005529225908372828
F41	K05	8	49	41	49230	4.9168865738908353e-17	5.2659294365455505e-06	0.0005581885202738284
E84	K86	7	88	13	49230	7.770153381755402e-17	5.2659294365455505e-06	0.0005634544497103739
B37	J31	43	1048	441	49230	1.8063696618844367e-16	5.2659294365455505e-06	0.0005687203791469195
B37	A08	221	1048	6031	49230	2.6976434950504133e-16	5.2659294365455505e-06	0.0005739863085834651
H10	J31	28	423	441	49230	3.491788067062806e-16	5.2659294365455505e-06	0.0005792522380200105
C91	A41	13	90	235	49230	5.678113821375582e-16	5.2659294365455505e-06	0.0005845181674565561
G44	H81	7	99	15	49230	6.80263401986434e-16	5.2659294365455505e-06	0.0005897840968931017
J15	J90	16	824	58	49230	1.36647426133869e-15	5.2659294365455505e-06	0.0005950500263296472
H66	H70	23	1457	90	49230	1.3769277074542923e-15	5.2659294365455505e-06	0.0006003159557661928
C91	D70	10	90	91	49230	1.4167006830437188e-15	5.2659294365455505e-06	0.0006055818852027383
F92	F93	7	23	68	49230	1.6804862301029392e-15	5.2659294365455505e-06	0.0006108478146392838
J12	J21	27	260	718	49230	2.4743105438362196e-15	5.2659294365455505e-06	0.0006161137440758294
J21	J96	31	718	354	49230	2.534657668835314e-15	5.2659294365455505e-06	0.0006213796735123749
J44	J45	50	848	778	49230	2.8368435657070437e-15	5.2659294365455505e-06	0.0006266456029489205
H26	H27	6	25	28	49230	3.351074885793637e-15	5.2659294365455505e-06	0.0006319115323854661
J00	J21	70	1670	718	49230	4.409374191057659e-15	5.2659294365455505e-06	0.0006371774618220116
